ILCE_UAVT,District,ADI,Category,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,Capacity,AMBULANS,Nbhood,Latitude,Longitude
1604,SARIYER,Ortodontist Dr. Aydan Coþkun Ateþ,Clinic,Meserburnu Cad. No:77 MERKEZ/SARIYER,0212 271 71 77 - 0544 271 71 77,www.sariyerortodontisti.com,,,,SARIYER MERKEZ,41.16638488,29.05669279
1708,ÜSKÜDAR,Sultantepe Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Hýzal Sk. No:2/1 SULTANTEPE/ÜSKÜDAR,0216 532 17 57,,Yok,0,,SULTANTEPE,41.02835919,29.02107751
2005,BAHÇELÝEVLER,Sim Optik,Optik,Hereke Sk. No:49B HÜRRÝYET/BAHÇELÝEVLER,0212 552 87 95,,,,,HÜRRÝYET,40.99613175,28.84265804
2005,BAHÇELÝEVLER,Þirin Optik,Optik,Mustafa Kemalpaþa Cad. No:2-4 SOÐANLI/BAHÇELÝEVLER,0212 641 62 00,,,,,SOÐANLI,41.01021958,28.85536448
1421,KADIKÖY,Fikirtepe Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Adilbey Sk. No:1 FÝKÝRTEPE/KADIKÖY,0216 346 42 85,,Yok,0,,FÝKÝRTEPE,40.99241563,29.04919429
1421,KADIKÖY,Private Ýstanbul Dentestetik Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Tütüncü Mehmetefendi Cad. No:17 GÖZTEPE/KADIKÖY,0216 356 17 17,www.dentestetik.com.tr,,,,GÖZTEPE,40.97338822,29.06226804
2010,GÜNGÖREN,Güngören Merkez Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Ünlü Sk. No:4 MERKEZ/GÜNGÖREN,0212 539 11 11,,Yok,0,,MERKEZ,41.02169432,28.87056962
2005,BAHÇELÝEVLER,Private Esteworld Polikliniði,Policlinic Private,Naci Kasým Sk. No:7A BAHÇELÝEVLER/BAHÇELÝEVLER,0212 555 80 90,www.esteworld.com.tr,Var,0,,BAHÇELÝEVLER,41.00568615,28.87117543
2003,AVCILAR,Private Gözlem Biyokimya Laboratuvarý,Laboratuvar Private,Marmara Cad. No:23 MERKEZ/AVCILAR,0212 694 92 90,www.gozlemtip.com.tr,,,,MERKEZ,40.98279155,28.72244649
2004,BAÐCILAR,Baðcýlar Aðýz ve Diþ Saðlýðý Merkezi,Aðýz ve Diþ Saðlýðý Merkezi,1709. Sk. No:93 DEMÝRKAPI/BAÐCILAR,0212 515 05 05,www.bagcilaragizdis.gov.tr,Yok,0,,DEMÝRKAPI,41.05025863,28.84202049
2003,AVCILAR,Private Avcýlar Hospital,Private Hospital,Uran Cad. No:10 ÜNÝVERSÝTE/AVCILAR,0212 591 10 00 - 444 29 99,www.avcilarhospital.com,Var,165,Var,ÜNÝVERSÝTE,40.99482765,28.70955669
2004,BAÐCILAR,Diþ Hekimi Ali Gürlek,Clinic,1095. Sk. No:1 YAVUZ SELÝM/BAÐCILAR,0212 651 56 29,,,,,YAVUZ SELÝM,41.04277835,28.84781845
1835,PENDÝK,Private Þifa Hospitalsi,Private Hospital,Zýpkýn Sk. No:10 BAHÇELÝEVLER/PENDÝK,0216 390 92 43,www.pendiksifa.com.tr,Var,52,Var,BAHÇELÝEVLER,40.88307201,29.23615901
1327,FATÝH,Private Talha Diþ Protez Laboratuvarý,Diþ Laboratuvarý,Kaçamak Sk. No:45 MOLLA GÜRANÝ/FATÝH,0212 521 23 29,,,,,MOLLA GÜRANÝ,41.01332225,28.94303422
1186,BEYOÐLU,Ýstanbul Okmeydaný Fatih Sultan Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Saðlýk Ocaðý Sk. No:8 PÝYALEPAÞA/BEYOÐLU,0212 254 92 20,,Yok,0,,PÝYALEPAÞA,41.04940742,28.96045204
1663,ÞÝÞLÝ,Gülbað Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Lati Lokum Sk. No:70 MECÝDÝYEKÖY/ÞÝÞLÝ,0212 212 02 19 - 0212 212 02 21,,Yok,0,,MECÝDÝYEKÖY,41.07249678,28.99419306
1327,FATÝH,Görkem Medikal,Medikal,Yokuþ Çeþmesi Sk. No:61 AKSARAY/FATÝH,0212 525 49 14,,,,,AKSARAY,41.00529667,28.94314269
1449,KARTAL,Hatice Satoðlu Huzurevi,Huzurevi,Tokdemir Sk. No:10 ORHANTEPE/KARTAL,0216 352 83 83,www.huzurevi.com.tr,,,Yok,ORHANTEPE,40.90100295,29.16158832
1185,BEYKOZ,Zerzevatçý Köyü Gezici Hizmet Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Þehit Cengiz Cad. No:40 ZERZAVATÇI/BEYKOZ,0216 319 44 88,,Yok,0,,ZERZAVATÇI,41.12750864,29.15915898
1782,BÜYÜKÇEKMECE,Büyükçekmece Public Hospital Gürpýnar Ek Hizmet Binasý,Public Hospital,Belediye 1 Cad. No:3 PINARTEPE/BÜYÜKÇEKMECE,0212 882 16 80,www.buyukcekmecedh.saglik.gov.tr,Yok,0,Yok,PINARTEPE,40.9964988,28.60764565
1185,BEYKOZ,Anatolia Park Huzurevi,Bakým Evi,Çeçenistan Cad. No:8A BAKLACI/BEYKOZ,0216 479 83 82,www.anatoliapark.com,,,Yok,BAKLACI,41.05900291,29.15332389
1449,KARTAL,Türk Red Crescentý Kartal Þubesi,Red Crescent,Karamel Sk. No:1 ORHANTEPE/KARTAL,0216 457 30 00,www.kizilay.org.tr,,,Yok,ORHANTEPE,40.9056507,29.16066856
1852,ÜMRANÝYE,Yamanevler Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Alemdað Cad. No:157 YAMANEVLER/ÜMRANÝYE,0216 344 45 60,,Yok,0,,YAMANEVLER,41.02492757,29.10180273
2049,ATAÞEHÝR,Burak Optik,Optik,Küçükbakkalköy Yolu Cad. No:82C ÝÇERENKÖY/ATAÞEHÝR,0216 574 03 39,,,,,ÝÇERENKÖY,40.97849882,29.11446892
2004,BAÐCILAR,Baðcýlar 6 Nolu Acil Saðlýk Hizmetleri Ýstasyonu,Emergency Station,206. Sk. No:10 BARBAROS/BAÐCILAR,0212 474 04 92,www.istanbulsaglik.gov.tr,Yok,3,Var,BARBAROS,41.02438769,28.84080808
2005,BAHÇELÝEVLER,Diþ Hekimi Fahrettin Kabataþ,Clinic,Yýldýrým Beyazýt Cad. No:1 ZAFER/BAHÇELÝEVLER,0212 551 12 47,,,,,ZAFER,40.99859897,28.83469909
2005,BAHÇELÝEVLER,Private Diþ Laboratuvarý,Diþ Laboratuvarý,Damla Sk. No:6 ZAFER/BAHÇELÝEVLER,0212 552 74 89,,,,,ZAFER,40.99839072,28.835028
1421,KADIKÖY,Vetelite Veteriner Kliniði,Veteriner,Kuzu Sk. No:10A SUADÝYE/KADIKÖY,0216 478 15 95,www.vetelite.com,,0,Yok,SUADÝYE,40.95921012,29.07618867
1449,KARTAL,Private Türk Med Diyaliz Merkezi,Diyaliz Merkezi Private,Soðanlýk D-100 Kuzey Yanyol No:1 ORTA/KARTAL,0216 451 27 27,www.turkmeddiyaliz.com,,,Yok,ORTA,40.90959054,29.20374642
1622,SÝLÝVRÝ,Hekimbaþý Ahi Çelebi Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Gün Sk. No:7 MÝMAR SÝNAN/SÝLÝVRÝ,0212 728 87 70,,Yok,0,,MÝMAR SÝNAN,41.08766657,28.24318304
1622,SÝLÝVRÝ,Private Ýncident Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Baþkomutan Cad. No:83 ALÝBEY/SÝLÝVRÝ,0212 727 28 45,www.incidentdis.com,,,,ALÝBEY,41.07304543,28.25061423
1622,SÝLÝVRÝ,Private Manuel Terapi Týbbi Masaj,Fizik Tedavi ve Rehabilitasyon Merkezi Private,Kartal Sk. ALÝBEY/SÝLÝVRÝ,0212 727 17 88,,Yok,0,Yok,ALÝBEY,41.0708031,28.25715723
2049,ATAÞEHÝR,Private Senar Diþ Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Kayýþdaðý Cad. No:69/3 KÜÇÜKBAKKALKÖY/ATAÞEHÝR,0216 573 38 68,www.senardis.com,,,,KÜÇÜKBAKKALKÖY,40.97920302,29.11275819
1852,ÜMRANÝYE,Private FMC Ýstanbul Ümraniye Diyaliz Merkezi,Diyaliz Merkezi Private,Öztekin Cad. No:20A MEHMET AKÝF/ÜMRANÝYE,0216 526 51 45 - 44,www.nephrocare.com.tr,,,Yok,MEHMET AKÝF,41.01051471,29.13738091
2003,AVCILAR,Private Modern Klinik Aðýz Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Reþit Paþa Cad. No:17/3 DENÝZKÖÞKLER/AVCILAR,0212 590 95 96,www.modernklinik.com,,,,DENÝZKÖÞKLER,40.978768,28.72726772
1166,BAKIRKÖY,Private Lazer Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Teyyareci Hayrettin Sk. No:14A KARTALTEPE/BAKIRKÖY,0212 571 66 51,,,,,KARTALTEPE,40.98266277,28.87339265
1835,PENDÝK,Private Donatým Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Ankara Cad. No:9/B KURTKÖY/PENDÝK,0216 378 96 98,www.donatimdis.com.tr,,,,KURTKÖY,40.91434541,29.30251982
2004,BAÐCILAR,Private Dünya Mecial Center,Mecial Center Private,Baðcýlar Asfaltý Cad. No:119C DEMÝRKAPI/BAÐCILAR,0212 651 86 17,,Yok,3,Yok,DEMÝRKAPI,41.04374283,28.84125568
1183,BEÞÝKTAÞ,Private Ota- Jinemed Hospitalsi,Private Hospital,Deryadil Sk. No:65 MURADÝYE/BEÞÝKTAÞ,0212 444 38 02,www.otajinemedHospitalsi.com,Var,18,Yok,MURADÝYE,41.04875383,29.00038338
2005,BAHÇELÝEVLER,Diþ Hekimi Seyhan Ergin,Clinic,Ýstanbul Þehitleri Cad. No:24 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 554 67 70,,,,,BAHÇELÝEVLER,41.00107342,28.868507
2004,BAÐCILAR,SBÜ Baðcýlar Eðitim ve Araþtýrma Hospitalsi Baðcýlar Toplum Ruh Saðlýðý Merkezi,Policlinic,210. Sk. No:43B BARBAROS/BAÐCILAR,0212 657 57 80,,Yok,0,,BARBAROS,41.02515369,28.84088894
1604,SARIYER,Diþ Hekimi Ýlhami Ayber,Clinic,Kantarcý Rüstem Sk. No:2 TARABYA/SARIYER,0212 262 37 47 - 0212 262 19 19,,,,,TARABYA,41.13692304,29.05254155
1604,SARIYER,Ýstinye Public Hospital,Public Hospital,Doktor Nurettin Cankat Sk. No:54 ÝSTÝNYE/SARIYER,0212 323 44 44,www.idh.gov.tr,Var,134,Yok,ÝSTÝNYE,41.11493758,29.05572863
1604,SARIYER,Private Sarýyer Beyaz Ýnci Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Kayadibi Sk. No:8 MERKEZ/SARIYER,0212 218 65 55,www.sariyerbeyazinci.com,,,,SARIYER MERKEZ,41.16799759,29.05583733
1604,SARIYER,Ahmet Büyükkuþoðlu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Ulu Cad. No:18 ÇAMLITEPE/SARIYER,0212 286 41 91,,Yok,0,,ÇAMLITEPE,41.1299111,29.0296859
1604,SARIYER,Bahçeköy Sabri Artam Vakfý Toplum Ruh Saðlýðý Merkezi,Private Taný Tedavi Merkezleri,Valide Sultan Cad. No:34 BAHÇEKÖY MERKEZ/SARIYER,0212 277 49 12,www.idh.gov.tr,,0,,BAHÇEKÖY MERKEZ,41.18241866,28.98934286
1604,SARIYER,Diþ Hekimi Handan Yýldýr,Clinic,Meserburnu Cad. No:91 MERKEZ/SARIYER,0212 271 36 19,,,,,SARIYER MERKEZ,41.16688858,29.05697512
1604,SARIYER,Sarýyer Verem Savaþ Dispanseri,Verem Savaþ Dispanseri,Orta Çeþme Cad. No:45 MERKEZ/SARIYER,0212 242 28 36,,,0,Yok,SARIYER MERKEZ,41.17053135,29.05664319
2049,ATAÞEHÝR,Private Sistem Týp Laboratuvarý,Laboratuvar Private,Iþýklar Cad. No:5-7 KÜÇÜKBAKKALKÖY/ATAÞEHÝR,0216 566 11 24,www.sistemtip.com.tr,,,,KÜÇÜKBAKKALKÖY,40.98387934,29.11405101
1663,ÞÝÞLÝ,Þiþli Belediyesi Zihinsel Özürlüler Rehabilitasyon Merkezi,Fizik Tedavi Rehabilitasyon Merkezi,Vefa Poyraz Cad. No:18 ÝZZET PAÞA/ÞÝÞLÝ,0212 232 53 00,www.sisli.bel.tr,Yok,0,Yok,ÝZZET PAÞA,41.06882896,28.98776178
2016,ESENLER,Private Kemal Avrasya Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Mercan Cad. No:2 NÝNE HATUN/ESENLER,0212 569 69 29,,Yok,0,Yok,NÝNE HATUN,41.03878718,28.87866945
1166,BAKIRKÖY,Private Yaþar Hospitalsi Diyaliz Merkezi,Diyaliz Merkezi Private,Ýncirli Cad. No:22 KARTALTEPE/BAKIRKÖY,0212 570 58 07 - 0212 466 15 00,www.ozelyasarHospitalsi.com,,,Var,KARTALTEPE,40.98381938,28.87268868
1449,KARTAL,Yakacýk Göz Optik,Optik,Samandýra Cad. No:14 YAKACIK YENÝ/KARTAL,0216 451 12 80,,,,,YAKACIK YENÝ,40.92010722,29.22496697
1782,BÜYÜKÇEKMECE,Büyükçekmece Merkez Aile Saðlýk Merkezi,Aile Saðlýðý Merkezi,Nutuk Cad. No:4 DÝZDARÝYE/BÜYÜKÇEKMECE,0212 883 10 07,,Yok,0,,DÝZDARÝYE,41.02036618,28.57872758
2052,ÇEKMEKÖY,Private Biruni Laboratuvarý Çekmeköy,Laboratuvar Private,Aþýklar Çayýrý Sk. No:73 MÝMAR SÝNAN/ÇEKMEKÖY,0216 642 43 00,www.biruni.com.tr,,,,MÝMAR SÝNAN,41.03178715,29.1823548
1449,KARTAL,Tuzla Public Hospitalne Baðlý Taþocaklarý Ek Hizmet Binasý,Policlinic,Muallim Sedatbey Sk. No:3/2 ESENTEPE/KARTAL,0216 473 88 18,http://yavuzselim.iagb.gov.tr,Var,105,,ESENTEPE,40.90154114,29.20360359
1708,ÜSKÜDAR,Private Dora Aðýz ve Diþ Saðlýðý Merkezi,Private Aðýz Diþ Saðlýðý Merkezleri,Selami Deðirmeni Sk. No:2 MURATREÝS/ÜSKÜDAR,0212 337 32 32,www.dorahospital.com,Yok,0,Yok,MURATREÝS,41.02232962,29.03558979
1421,KADIKÖY,Ýnter Optik,Optik,Buket Sk. No:14 KOZYATAÐI/KADIKÖY,0216 658 02 27,,,,,KOZYATAÐI,40.96960125,29.09218652
1336,GAZÝOSMANPAÞA,Pets Life Veteriner Kliniði,Veteriner,Ordu Cad. No:143-145 YENÝDOÐAN/GAZÝOSMANPAÞA,0212 583 30 01,,,0,Yok,YENÝDOÐAN,41.05824795,28.92464438
1183,BEÞÝKTAÞ,Private Fulya Açýk Emar,Görüntüleme Merkezi Private,Yeþilçimen Sk. No:9 DÝKÝLÝTAÞ/BEÞÝKTAÞ,444 67 28,www.fulyaacikemar.com,,,,DÝKÝLÝTAÞ,41.05798835,29.00164414
1183,BEÞÝKTAÞ,Private Uzmanlar Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Ihlamurdere Cad. No:92 TÜRKALÝ/BEÞÝKTAÞ,0212 227 16 10,www.uzmanlardis.com,,,,TÜRKALÝ,41.04715606,29.00246936
1237,ÇATALCA,Türk Red Crescentý Çatalca Þubesi,Red Crescent,Topuklu Cad. No:20 KALEÝÇÝ/ÇATALCA,0212 789 57 17,www.kizilay.org.tr,,,Yok,KALEÝÇÝ,41.14289956,28.45852504
1604,SARIYER,Diþ Hekimi Sami Akpýnar,Clinic,Adnan Menderes Cad. No:23 BAHÇEKÖY MERKEZ/SARIYER,0212 226 34 17,,,,,BAHÇEKÖY MERKEZ,41.17868044,28.99213602
1237,ÇATALCA,Private Çaðdaþ Beþparmak Saðlýk Kabini,Saðlýk Kabini Private,Atatürk Cad. No:1A FERHATPAÞA/ÇATALCA,0212 789 49 59,,,,,FERHATPAÞA,41.14186883,28.46278064
1604,SARIYER,Private Sarýyer Diyaliz Merkezi,Diyaliz Merkezi Private,Nar Çiçeði Sk. No:3 YENÝKÖY/SARIYER,0212 223 86 92,www.sariyerdiyaliz.com,,,Var,YENÝKÖY,41.12264007,29.05439036
1237,ÇATALCA,Kestanelik Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Dispanser Sk. No:18 KESTANELÝK/ÇATALCA,0212 794 33 11,,Yok,0,,KESTANELÝK,41.23722169,28.49600091
1604,SARIYER,Sarýyer 4 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Çayýrbaþý Cad. No:79 BÜYÜKDERE/SARIYER,0212 271 23 13,,Yok,0,,BÜYÜKDERE,41.15895708,29.03804272
2003,AVCILAR,Gözüm Optik,Optik,Marmara Cad. No:34 MERKEZ/AVCILAR,0212 694 81 82,,,,,MERKEZ,40.98204452,28.72254289
1739,ZEYTÝNBURNU,Zeytinburnu 5 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Seyitnizam Cad. No:9A SEYÝTNÝZAM/ZEYTÝNBURNU,0212 582 34 84,,Var,0,,SEYÝTNÝZAM,41.00387973,28.90280733
2003,AVCILAR,Avcýlar Ortopedi,Medikal,Merkez Cami Sk. No:31 MERKEZ/AVCILAR,0212 676 66 66,,,,,MERKEZ,40.982295,28.721202
2003,AVCILAR,Gözüm Optik,Optik,Marmara Cad. No:24 MERKEZ/AVCILAR,0212 676 19 29,,,,,MERKEZ,40.98151521,28.72239749
1739,ZEYTÝNBURNU,Private Yedikule Surp Pýrgiç Ermeni Hospitalsi,Private Hospital,Zakirbaþý Sk. No: KAZLIÇEÞME/ZEYTÝNBURNU,0212 510 80 52,www.surppirgic.com,Var,121,Var,KAZLIÇEÞME,40.99369204,28.91505569
1835,PENDÝK,Ece Optik,Optik,Ortanca Cad. No:70 DOÐU/PENDÝK,0216 375 13 66,,,,,DOÐU,40.87859592,29.23596003
2049,ATAÞEHÝR,Private DentGroupAðýz ve Diþ Saðlýðý Polikliniði Ataþehir ,Private Aðýz Diþ Saðlýðý Merkezleri,Halk Cad. No:22-24 BARBAROS/ATAÞEHÝR,0216 363 34 34,www.dentgroup.com.tr,,,,BARBAROS,40.98754391,29.10015064
2005,BAHÇELÝEVLER,Private Medical Park Hospitalsi Bahçelievler,Private Hospital,Kültür Sk. No:1 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 484 14 84,www.medicalpark.com.tr,Var,242,Var,BAHÇELÝEVLER,40.99578042,28.8632008
2003,AVCILAR,Gözüm Optik,Optik,Þamlý Sk. No:29 MERKEZ/AVCILAR,0212 590 94 63,,,,,MERKEZ,40.98093719,28.72129733
1835,PENDÝK,Private Kaynarca Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Deniz Cad. No:38 KAYNARCA/PENDÝK,0216 375 18 19,www.saglik.gov.tr,,,,KAYNARCA,40.87653428,29.25971078
2004,BAÐCILAR,75. Yýl Evren Mahallesi Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Cami Yolu Cad. No:66 EVREN/BAÐCILAR,0212 656 78 79,,Yok,0,,15 TEMMUZ,41.03973606,28.81695318
2003,AVCILAR,Private FMC Ýstanbul Avcýlar 2 Diyaliz Merkezi,Diyaliz Merkezi Private,Yoðurtçu Sk. No:197/1 CÝHANGÝR/AVCILAR,0212 593 80 36,www.nephrocare.com.tr,,40,Yok,CÝHANGÝR,40.98782583,28.71593183
2005,BAHÇELÝEVLER,Bahçelievler 9 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Mustafa Kemalpaþa Cad. No:2J SÝYAVUÞPAÞA/BAHÇELÝEVLER,0212 555 22 27,,Var,0,,SÝYAVUÞPAÞA,41.00363787,28.85198038
2003,AVCILAR,Kirazlý Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Kirazlý Cad. No:55 CÝHANGÝR/AVCILAR,0212 509 32 26,,Yok,0,,CÝHANGÝR,40.98732571,28.71028431
2010,GÜNGÖREN,Güngören Aðýz ve Diþ Saðlýðý Merkezi,Aðýz ve Diþ Saðlýðý Merkezi,Ünlü Sk. No:4 MERKEZ/GÜNGÖREN,0212 556 36 36,www.gungorenadsm.gov.tr,Yok,46,,MERKEZ,41.02182391,28.87075513
1166,BAKIRKÖY,Private Biodent Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Ýncirli Cad. No:24 KARTALTEPE/BAKIRKÖY,0212 660 89 59,,,,,KARTALTEPE,40.98393955,28.87274283
2005,BAHÇELÝEVLER,Zümrüt Optik,Optik,Mehmet Akif Ersoy Cad. No:30 ÞÝRÝNEVLER/BAHÇELÝEVLER,0212 552 95 69,,,,,ÞÝRÝNEVLER,40.9950198,28.8473458
2005,BAHÇELÝEVLER,Ýç Hastalýklarý Uzmaný Dr Gürkan Kubilay,Clinic,Naci Kasým Sk. No:1 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 556 60 71,www.gurkankubilay.com,,,,BAHÇELÝEVLER,41.00622717,28.87095724
1823,KÜÇÜKÇEKMECE,Diþ Hekimi Necmi Pekmeci,Clinic,Baðlar Cad. No:1-3 GÜLTEPE/KÜÇÜKÇEKMECE,0212 580 93 94,,,,,GÜLTEPE,40.99494059,28.7911806
1886,BAYRAMPAÞA,Bayrampaþa 1 Nolu Acil Saðlýk Hizmetleri Ýstasyonu,Emergency Station,Abdi Ýpekçi Cad. No:167 YENÝDOÐAN/BAYRAMPAÞA,0212 544 80 65,www.istanbulsaglik.gov.tr,Yok,3,Var,YENÝDOÐAN,41.04780892,28.91341063
1663,ÞÝÞLÝ,Ýstanbul Üniversitesi-Cerrahpaþa Florence Nightingale Hemþirelik Fakültesi,Private Hospital,Abide-i Hürriyet Cad. No:164E ÝZZET PAÞA/ÞÝÞLÝ,0212 224 49 54,www.florence.com.tr,Var,219,Var,ÝZZET PAÞA,41.06968836,28.9841035
1835,PENDÝK,Murat Uçkan Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Estergon Sk. No:14 SAPAN BAÐLARI/PENDÝK,0216 473 66 56,,Yok,0,,SAPAN BAÐLARI,40.887777,29.21951997
2005,BAHÇELÝEVLER,Bera Ýþitme Cihazlarý Satýþ ve Uygulama Merkezi,Ýþitme Cihazý Satýþ ve Uygulama Merkezi,Naci Kasým Sk. No:3 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 505 85 48,www.beraisitmecihazlari.com,,0,,BAHÇELÝEVLER,41.00599598,28.87096464
2003,AVCILAR,Gözde Optik,Optik,Ýstiklal Cad. No:40 MUSTAFA KEMALPAÞA/AVCILAR,0212 428 13 25,,,,,MUSTAFA KEMALPAÞA,40.99889788,28.70928024
2005,BAHÇELÝEVLER,Diþ Hekimi Orkun Sosyaltürk,Clinic,Adnan Kahveci Bulvarý No:91 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 441 16 25,,,,,BAHÇELÝEVLER,41.001651,28.863473
2005,BAHÇELÝEVLER,Real Optik,Optik,D-100 Kuzey Yanyol 1 No: BAHÇELÝEVLER/BAHÇELÝEVLER,0212 442 26 38,,,,,BAHÇELÝEVLER,40.99568556,28.86274903
1166,BAKIRKÖY,Private Açýk Emar Görüntüleme Merkezi,Görüntüleme Merkezi Private,Yüce Tarla Cad. No:67 ZUHURATBABA/BAKIRKÖY,0212 660 79 79,www.emarpark.com,,,,ZUHURATBABA,40.99176582,28.8697954
1739,ZEYTÝNBURNU,Zeytinburnu Semiha Þakir Huzurevi,Huzurevi,Ýmam Hatip Yolu Sk. No:6 KAZLIÇEÞME/ZEYTÝNBURNU,0212 582 83 43,www.zeytinburnuhuzurevi.gov.tr,,,Yok,KAZLIÇEÞME,41.00316444,28.91700548
1183,BEÞÝKTAÞ,Felis Veteriner Kliniði,Veteriner,Seheryýldýzý Sk. No:40 ETÝLER/BEÞÝKTAÞ,0212 352 69 70,,,0,Yok,ETÝLER,41.08544821,29.03406136
1183,BEÞÝKTAÞ,Beþiktaþ Toplum Saðlýðý Merkezi,Toplum Saðlýðý Merkezi,Asariye Cad. No:77 YILDIZ/BEÞÝKTAÞ,0212 327 17 82,www.istanbulhalksagligi.gov.tr,,,Yok,YILDIZ,41.04367445,29.0132085
1336,GAZÝOSMANPAÞA,Ekin Optik Lens,Optik,500 Evler Cad. No:62 HÜRRÝYET/GAZÝOSMANPAÞA,0212 618 61 16,,,,,HÜRRÝYET,41.07028887,28.89564467
1183,BEÞÝKTAÞ,Private Esteworld Plastik Cerrahi Hospitalsi,Private Hospital,Aydýn Sk. No:1 NÝSBETÝYE/BEÞÝKTAÞ,0212 325 61 61,www.esteworld.com.tr,Var,12,Yok,NÝSBETÝYE,41.07242234,29.01847813
1183,BEÞÝKTAÞ,Private My Dent Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Barbaros Bulvarý No:55 CÝHANNÜMA/BEÞÝKTAÞ,0212 261 33 22,,,,,CÝHANNÜMA,41.04665209,29.00733025
1336,GAZÝOSMANPAÞA,Nazar Optik,Optik,Ordu Cad. No:78 SARIGÖL/GAZÝOSMANPAÞA,0212 614 74 30,,,,,SARIGÖL,41.05787513,28.9181639
1183,BEÞÝKTAÞ,Private Yeditepe Üniversitesi Göz Hospitalsi,Göz Merkezi Private,Gazi Umur Paþa Sk. No:28 BALMUMCU/BEÞÝKTAÞ,0212 211 40 00,www.yeditepeHospitalsi.com.tr,,3,,BALMUMCU,41.06026244,29.01220836
1183,BEÞÝKTAÞ,Private Güzel Günler Polikliniði,Policlinic Private,Güllü Sk. No:4 LEVENT/BEÞÝKTAÞ,0212 278 27 71,www.guzelgunler.com,Yok,0,,LEVENT,41.08589816,29.01851814
1183,BEÞÝKTAÞ,Pupila Veteriner Kýliniði,Veteriner,Yanarsu Sk. No:18/1 ETÝLER/BEÞÝKTAÞ,0212 257 17 93,,,0,Yok,ETÝLER,41.08490049,29.0349571
1336,GAZÝOSMANPAÞA,Karayollarý Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,615. Sk. No:1B KARAYOLLARI/GAZÝOSMANPAÞA,0212 617 87 59,,Yok,0,,KARAYOLLARI,41.08540252,28.89856706
2052,ÇEKMEKÖY,La Fontaine Veteriner Kliniði,Veteriner,Said Nursi Cad. No:2 HAMÝDÝYE/ÇEKMEKÖY,0216 642 50 72,www.lafontaineveteriner.tr.gg,,0,Yok,HAMÝDÝYE,41.02817668,29.18913323
1185,BEYKOZ,Private Medibey Cerrahi Mecial Center,Mecial Center Private,Çayýr Cad. No:178 ORTAÇEÞME/BEYKOZ,0216 424 30 03 - 0533 764 99 88,www.medibeytipmerkezi.com,Var,,Var,ORTAÇEÞME,41.14610286,29.08737799
1782,BÜYÜKÇEKMECE,Private Kozan Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Mustafa Kemal Bulvarý No:22B MÝMAROBA/BÜYÜKÇEKMECE,0212 864 09 56,www.kozanda.com,,,,MÝMAROBA,41.00673581,28.53881281
