ILCE_UAVT,District,ADI,Category,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,Capacity,AMBULANS,Nbhood,Latitude,Longitude
1604,SARIYER,Private Denta Vita Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Meserburnu Cad. No:105 MERKEZ/SARIYER,0212 242 12 24,www.dentavita.com,,,,SARIYER MERKEZ,41.16734782,29.05711268
1421,KADIKÖY,Aktif Ýnter Optik,Optik,Halitaða Cad. No:34 RASÝMPAÞA/KADIKÖY,0216 550 08 75,,,,,RASÝMPAÞA,40.99253972,29.02983078
1823,KÜÇÜKÇEKMECE,Happy Vet Veteriner Kliniði,Veteriner,Kýrlangýç Sk. No:6 ATAKENT/KÜÇÜKÇEKMECE,0212 693 33 22,www.happyvetveteriner.com,,0,Yok,ATAKENT,41.05705365,28.78646914
1421,KADIKÖY,Anaconda Veteriner Kliniði,Veteriner,Atatürk Cad. No:34 SAHRAYICEDÝT/KADIKÖY,0216 360 36 06,www.anakondavet.com,,0,Yok,SAHRAYICEDÝT,40.98110536,29.08205374
1823,KÜÇÜKÇEKMECE,Zeynebiye Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Zeynebiye Cad. No:26 HALKALI MERKEZ/KÜÇÜKÇEKMECE,0212 548 22 82,,Yok,0,,HALKALI MERKEZ,41.03391343,28.80325556
1421,KADIKÖY,Sahil Veteriner Hizmetleri,Veteriner,Hamiyet Yüceses Sk. No:4 SUADÝYE/KADIKÖY,0216 355 10 46,www.sahilveteriner.net,,0,Yok,SUADÝYE,40.96107224,29.0760082
1186,BEYOÐLU,Private Universal Hospital Grup Ýtalyan Giovanni Alberto Agnelli Hospitalsi,Private Hospital,Defterdar Yokuþu No:17 FÝRUZAÐA/BEYOÐLU,0212 292 35 01,www.uhg.com.tr,Var,,Var,FÝRUZAÐA,41.02878152,28.98143308
2015,TUZLA,Tuzla Merkez Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Ýstasyon Cad. No:71 POSTANE/TUZLA,0216 395 23 30,,Var,5,,POSTANE,40.82119849,29.30831434
1659,ÞÝLE,Þile Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,Ayazma Cad. ÇAVUÞ/ÞÝLE,0216 712 12 67,www.istanbulhalksagligi.gov.tr,,,Yok,ÇAVUÞ,41.1732756,29.60708136
1449,KARTAL,Kartal Koþuyolu Yüksek Ýhtisas Eðitim ve Araþtýrma Hospitalsi,Research Hospital,Lütfi Kýrdar Cad. No: CEVÝZLÝ/KARTAL,0216 500 15 00,www.kosuyolu.gov.tr,Var,465,Yok,CEVÝZLÝ,40.91582446,29.17170436
